Date,cpi_annual,us_5y_yield,cds_proxy,viop30_proxy,vix,xu100_rvol,iv_rv_spread,cds_change_20d,cds_ma_ratio,viop30_change_5d,viop30_change_20d,viop30_ma_ratio
2023-10-30,17.4911,0.04803999900817871,3.60178752425677,59.09792459182167,19.75,43.55113277644712,15.546791815374554,-2.4609287867941707,0.3644343770944163,0.16149360048740236,0.25930130885664227,1.3418340060770162
2023-10-31,17.4911,0.04815999984741211,3.5288533496372856,54.41999816894531,18.139999389648438,44.092975975776895,10.327022193168418,-2.206936941064321,0.36042964961495966,0.023768631125208772,0.10676951135001755,1.2307969391944453
2023-11-01,18.065,0.04704999923706055,3.5114733290548763,50.610002517700195,16.8700008392334,43.789089599563354,6.820912918136841,-2.226113667303564,0.36207254396026173,-0.16443782105026983,0.10832809722331826,1.143308930814027
2023-11-02,18.065,0.04636000156402588,3.5164537017881194,43.418982580678154,15.65999984741211,43.74335529669182,-0.3243727160136629,-2.2229043257375496,0.36585672976181144,-0.3001453588017071,-0.043343416957055125,0.9812664514795701
2023-11-03,18.065,0.0448799991607666,3.514164481754552,42.0209498068726,14.90999984741211,43.89150038086277,-1.8705505739901724,-2.2260296811085922,0.36879093944497354,-0.34146765550045377,0.0563706706227165,0.9505442639335323
2023-11-06,18.065,0.046090002059936526,3.2896264909747606,41.94301085776728,14.890000343322754,43.48281197117411,-1.5398011134068312,-1.5978000477771488,0.34838542801235506,-0.29027946163152396,-0.0058724692980035575,0.9495255812965534
2023-11-07,18.065,0.04538000106811523,3.290699562788366,40.295708324108496,14.8100004196167,41.79594172358865,-1.5002333994801518,-1.1473857907594693,0.3488617818537856,-0.25954226975510675,-0.051876553466871256,0.9129915874666281
2023-11-08,18.065,0.04521999835968018,3.2706475610960526,39.37287366152855,14.449999809265137,41.665756891185154,-2.292883229656603,-1.1878653084432633,0.34682924852053,-0.22203375414260462,-0.0006317879636319468,0.893900485471145
2023-11-09,18.065,0.04639999866485596,3.2187674810215046,41.2915594875717,15.289999961853027,41.605597447908465,-0.314037960336762,-1.1753621820133513,0.34146928767462137,-0.04899753441143906,-0.015620025495700962,0.9404381221109831
2023-11-10,18.065,0.04665999889373779,3.032170194154713,36.0487399700767,14.170000076293945,41.29089517983836,-5.2421552097616555,-1.4790358707309559,0.3217866064034053,-0.14212457986418792,-0.2851486707827765,0.8257990309353179
